"CLIP:  CraigsList Image Prefetcher" 483
"Yes popups" 483
"Element Properties" 483
QuickPageZoom 483
"Live PageRank" 483
FaviconizeTab 483
"Vacuum Places Improved" 483
"IE View Lite" 483
"VKontakte.ru / vk.com Video Downloader" 483
QuickDrag 483
MediaWrap 483
SmoothWheel 483
Enigmail 483
"RapidShare DownloadHelper" 483
"Download Flash and Video" 483
"Font Finder" 482
"Privacy +" 482
"Facebook Filter" 482
"Adblock Plus Filter Uploader" 482
wmlbrowser 482
"Morning Coffee" 482
FxIF 482
"Low Quality Flash" 482
"NetVideoHunter Video Downloader" 482
"Easy DragToGo" 482
FireTorrent 482
"Pimp My Facebook Skin!" 481
"CS Lite" 481
"Favicon Picker 3" 481
RetailMeNot 481
"Zoom Page" 481
"My Translator (Google Translate)" 481
"Unhide Passwords" 481
"Pixel Perfect" 481
"Nuke Anything Enhanced" 481
"Google Docs Viewer (PDF, PPT, TIFF, DOC, DOCX)" 481
"Dictionary Switcher" 481
"NBA Scoreboard 2010" 481
"Power Twitter" 481
Ctrl-Tab 481
"YouTube to MP3" 481
Lightning 481
"Download Manager Tweak" 481
"Forex Currency Converter" 480
"Configuration Mania" 480
"Signature Switch" 480
"Context Search" 480
"Add Bookmark Here ²" 480
MinimizeToTray 480
"Pixlr Grabber" 480
Glasser 480
Picnik 480
"Image Zoom" 480
LinkChecker 479
ThunderBirthDay 479
CookieSafe 479
"Edit Cookies" 479
"VKontakte.ru / vk.com MP3 Music Downloader" 479
"Ad blocker" 479
"Facebook Video" 479
"Easy YouTube Video Downloader" 479
"Multicolumn Bookmarks" 478
mid 478
"GoogleTube - YouTube Player" 477
"TinEye Reverse Image Search" 477
"Secure Login" 476
Sage 474
"MP4 YouTube Downloader" 474
"Related How-To Videos Sidebar" 470
"PinkTheme Pink Pack " 462
"Travian bot Arabic" 0
"Java Console 6.0.00" 0
Poster 0
"App Tabs" 0
AeroBuddy 0
"IE NetRenderer" 0
"LIVE TV STREAMING" 0
"New Tabs at the End" 0
Aardvark 0
FabTabs 0
"Automatic Save Folder" 0
AttachmentExtractor 0
WindowsUpdate 0
"Nagios Checker" 0
"Real-Debrid | Plugin" 0
Illimitux 0
"Paste and Go 3" 0
Firesizer 0
VMLoad 0
"RDown - Rapidshare Downloader" 0
"FaceMod - Facebook Dislike Button (The Original)" 0
FoxTrick 0
"OnlyWire - Social Networking Auto-Submitter" 0
"Sothink Web Video Downloader for Firefox" 0
fireradiko 0
NicoFox 0
AnyColor 0
Fasterfox 0
Fasterfox 0
BetterPrivacy 0
AddThis 0
FoxTab 0
NoScript 0
"Video DownloadHelper" 0
autoHideStatusbar 
"MegaUpload Time Attack" 
"Empty Cache Button" 
"Firefox Throttle" 
"AdChange For AdblockPlus" 
"Adblock Plus Pop-up Addon" 
"Test Pilot" 
"Orkut Manager" 
"Facebook Dislike" 
"Google chrome extensions manager" 
"Mozilla Archive Format (with Faithful Save)" 
"Facebook Chat History Manager" 
"Tweak Network" 
"Infoaxe: Full Text Web History Search synchronized between Firefox, IE on multiple computers." 
"All-Glass for Firefox" 
"Extra Fasterfoxx" 
MediaPlayerConnectivity 
"IE Tab 2 (FF 3.6+)" 
"Memory Fox" 
